age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
69,unemployed,single,unknown,no,56060,yes,no,unknown,21,dec,456,24,202,15,success,no
32,retired,married,primary,no,28931,yes,no,unknown,14,aug,71,1,320,15,failure,no
89,student,married,unknown,no,76068,no,no,cellular,3,jul,2283,44,20,4,other,no
78,unknown,divorced,tertiary,no,35345,no,yes,cellular,20,mar,712,47,229,7,success,no
38,services,single,primary,no,54568,no,no,cellular,3,nov,520,43,307,15,success,yes
92,admin.,married,primary,no,9088,no,no,unknown,28,jan,2278,6,284,4,failure,no
92,admin.,married,unknown,no,731,no,no,cellular,14,dec,1601,21,121,17,unknown,no
41,blue-collar,married,unknown,no,66832,no,no,telephone,8,mar,748,44,264,10,success,no
20,management,single,primary,no,19943,yes,no,unknown,22,aug,2117,15,24,3,failure,no
39,unemployed,divorced,primary,no,27277,yes,no,telephone,22,mar,865,27,399,16,failure,no
70,unknown,divorced,unknown,no,16690,yes,yes,unknown,9,jan,2348,37,32,17,unknown,no
19,unknown,single,tertiary,no,35051,yes,no,telephone,16,jul,2396,22,194,5,failure,no
47,unknown,divorced,secondary,no,26412,yes,yes,cellular,4,jan,2691,21,160,15,success,no
55,admin.,divorced,secondary,no,34732,yes,no,telephone,18,jun,1313,47,368,0,other,yes
19,blue-collar,divorced,secondary,no,73914,yes,yes,telephone,8,jun,2878,14,49,16,failure,no
81,unemployed,divorced,primary,no,29584,yes,no,cellular,22,feb,2443,34,9,17,failure,no
77,admin.,divorced,secondary,no,24306,no,no,cellular,27,oct,304,25,130,8,failure,no
38,technician,married,unknown,no,72166,no,no,cellular,3,sep,1233,21,112,2,success,no
50,housemaid,single,tertiary,no,-200,no,no,cellular,20,aug,860,32,358,17,failure,no
93,housemaid,married,tertiary,no,61742,yes,no,telephone,30,jun,1001,18,24,0,other,no
75,blue-collar,married,tertiary,no,12023,yes,no,unknown,27,sep,173,8,192,13,other,no
39,self-employed,single,unknown,no,35044,no,no,unknown,7,feb,280,15,307,1,failure,yes
66,management,married,secondary,no,73429,no,no,cellular,6,apr,1247,12,281,11,failure,no
76,unemployed,divorced,tertiary,no,29240,no,no,unknown,2,apr,157,25,39,3,unknown,yes
59,retired,married,primary,no,48868,yes,no,cellular,20,aug,1256,24,77,18,success,no
77,services,single,tertiary,no,1438,yes,no,unknown,13,dec,749,12,306,5,success,yes
32,management,married,unknown,no,68855,no,no,cellular,11,dec,738,38,23,17,success,no
79,technician,divorced,secondary,no,6994,no,no,cellular,26,oct,2426,9,383,6,failure,yes
79,blue-collar,single,secondary,no,66294,no,no,unknown,9,mar,1776,42,270,4,other,no
64,services,married,unknown,no,74592,no,no,unknown,12,dec,1716,45,200,17,unknown,no
79,unemployed,divorced,unknown,no,9750,no,no,telephone,21,mar,2029,24,323,3,unknown,no
68,management,single,secondary,no,5367,no,no,unknown,8,jan,1551,36,353,2,unknown,no
72,entrepreneur,single,secondary,no,5691,no,no,unknown,3,may,2529,13,108,7,success,no
81,self-employed,divorced,tertiary,no,43577,no,no,telephone,4,feb,658,21,314,11,success,no
20,admin.,single,tertiary,no,43929,no,yes,unknown,25,jun,789,26,18,15,success,no
68,housemaid,single,primary,no,18606,yes,no,unknown,24,sep,1977,4,106,3,other,no
24,services,married,tertiary,no,2352,no,no,unknown,13,aug,1694,2,244,3,other,no
38,services,divorced,unknown,no,22335,yes,no,telephone,8,jun,2568,12,289,1,failure,no
90,retired,married,unknown,no,21423,no,no,unknown,7,may,775,31,110,15,failure,no
